id,Title,Description,Objective,Sector,Coordination Bodies,Status,Collaboration Type,Aid Type Categories,Finance Types,Total Commitment,Total Disbursement,Total Commitment USD,Total Disbursement USD,Transaction count,Filtered Commitment USD,Filtered Disbursement USD,Filtered Transaction count,Reporting Organisation,Financing,Extending,Implementing,Partner Ministry,State/Region,Township,Planned Start date,Planned End date,Actual Start date,Actual End date,Contact Name,Contact Phone,Contact Email,IATI Identifer,IATI Linked,IATI Sync
MM-FERD-ID8765,Norsk Folkehjelp. Myanmar. Support to the peace process 2015,"Support to Norwegian People's Aids activities in support of the Myanmar peace process. 2015-16
",,"Conflict prevention and resolution, peace and security",None,Implementation,Multilateral,Core contributions and pooled programmes and funds,Grant,11500000,11500000,1392248.65,1357541.5,9,1392248.65,1357541.5,3,Government of Norway,,,Norwegian People's Aid,,Nation-wide - 100.00%,,2015-09-02,2016-12-31,2015-12-15,,"Flølo, Arne Jan",,arne.jan.flolo@mfa.no,,False,
MM-FERD-ID1789,Improved Economic Livelihoods and Environmental Management Project in Myanmar,Increase resilience through improved economic livelihoods and sustainable environmental management for communities in the Dry Zone of Myanmar.,Increase resilience through improved economic livelihoods and sustainable environmental management for communities in the Dry Zone of Myanmar.,Agriculture,Agriculture and Rural Development Sector Coordination Group,Completion,"Bilateral, core contributions to NGOs and other private bodies / PPPs",Core contributions and pooled programmes and funds,Grant,1274412,1274412,1068894.57,973312.82,16,1068894.57,973312.82,4,New Zealand Aid Programme,New Zealand Aid Programme,,World Vision,"Ministry of Agriculture, Livestock and Irrigation",Magway Region - 100.00%,Chauk - 50.00% | Yenangyaung - 50.00%,2014-03-01,2018-02-28,2014-03-01,2018-02-28,Juthathip Subhaswasdikul,+662 254 2530 Ext 35,Juthathip.Subhaswasdikul@mfat.govt.nz,,False,
MM-FERD-ID0606,Norwegian People's Aid. Capacity buliding and hum. assistance,"Capacity building and civil society and basic humanitarian assistance.

(MMR-13/0004)",,"Civilian peace-building, conflict prevention and resolution",None,Post-completion,"Bilateral, core contributions to NGOs and other private bodies / PPPs",Project-type interventions,Grant,12000000,12000000,2079199.08,1997272.08,4,2079199.08,1997272.08,2,Government of Norway,Government of Norway,,Norwegian People's Aid,,,,,,2013-06-06,2015-12-31,"Kristin Hoem Langsholt,",,,,False,
MM-FERD-ID8612,Demosoe Assistance to the Uprooted (DAU),The overall objective is to improve the livelihoods and social status of uprooted people in Kayah State and to create a viable foundation for longer-term development.  ,"The specific objective is to provide at least 2,000 households in 34 villages of Demosoe Township with the capacity to collaboratively model, implement and replicate sustainable agriculture, water and health interventions that also contribute to community reconciliation and conflict resolution",Food crop production,Agriculture and Rural Development Sector Coordination Group,Completion,Bilateral,Project-type interventions,Grant,1446298.3,1446298.3,2070580.35,1997307.51,4,2070580.35,1997307.51,2,European Union,European Union,European Union,CARE International,,Kayah State - 100.00%,Demoso - 100.00%,2009-01-01,2012-10-01,2009-01-01,2012-10-01,Manuel de Rivera Lamo de Espinosa,+95 (0) 1 230 56 50 ,Manuel.DE-RIVERA-LAMO@eeas.europa.eu,,False,
GB-1-113839-104,Accountable Grant Ag5122 SCF Ca003,,,"Material relief assistance and services(70.00%),Relief co-ordination; protection and support services(30.00%)",None,Post-completion,"Bilateral, core contributions to NGOs and other private bodies / PPPs",Project-type interventions,Grant,1192515,0,2360373.54,0,4,2360373.54,0,2,UK - Department for International Development,UNITED KINGDOM| UK - Department for International Development,UK - Department for International Development,Nyein / Shalom Foundation,,Nation-wide - 100.00%,,2008-05-04,2008-11-04,2008-05-04,2008-11-04,,+44 (0) 1355 84 3132,enquiry@dfid.gov.uk,,False,
MM-FERD-ID9769,"Monitoring and Reporting, Prevention, Protection, Release, Rehabilitation and Reintegration of Children Affected by Armed Conflict in Myanmar","The overall Project goal is to provide the GoM with assistance towards the protection and support of children affected by armed conflict. 
","Objective component 1: Strengthening the MRM on Grave Child Rights Violations in Myanmar
To establish a systematic and effective means of monitoring, reporting and follow-up on grave child rights violations in Myanmar through regular and independent monitoring of children affected by armed conflict, so that the full scope of   violations can be known and acted upon 

Objective component 2: Prevention, Protection, release rehabilitation and reintegration for children affected by armed conflict
To ensure: i) that programmatic interventions are implemented to respond to grave child rights violations, in particular through prevention, protection, release, rehabilitation and reintegration support for children affected by armed conflict; ii) a reduction of instances of grave child rights violation can be sustained.
",Human rights,None,Completion,Bilateral,Experts and other technical assistance,Grant,771305,772305,1010452.94,1015321.91,16,1010452.94,1015321.91,4,European Union,European Union,European Union,United Nations Children's Fund,Ministry of Defence,Nation-wide - 100.00%,,2010-12-24,2013-12-23,2010-12-24,2013-12-23,Manuel de Rivera Lamo de Espinosa,+95 (0) 1 230 56 50 ,Manuel.DE-RIVERA-LAMO@eeas.europa.eu,,False,
MM-FERD-ID4156,Support to refugeees and healthcare,"Support to the refugees in camps in Thailand and to primary health care for refugees and internally displaced persons.
",,Material relief assistance and services,None,Completion,"Bilateral, core contributions to NGOs and other private bodies / PPPs",Project-type interventions,Grant,12200000,12200000,2001523.46,2030714.4,4,2001523.46,2030714.4,2,Government of Norway,Government of Norway,,Norwegian Church Aid,,Nation-wide - 100.00%,,,,2013-01-01,2014-12-31,Kristin Hoem Langsholt,,,,False,
MM-FERD-ID42,The Project for Provision of Road Construction and Maintenance Equipment in Kayin State,"The purpose of the project is to contribute to economic development and to promote return and resettlement of the international and internal displaced people in Kayin State by providing construction equipment for road maintenance. The project is expected to improve logistics, activate industries in Kayin State, improve living standards of the people living along the roads, facilitate transportation of returnees as well as materials for maintenance of accepting villages, and promote return of international and internal displaced people and regional development.",,Transport and storage,Transport and ICT Sector Coordination Group,Completion,Bilateral,Project-type interventions,Grant,759000000,0,8010182.4,0,1,8010182.4,0,1,Government of Japan,Government of Japan,,Ministry of Construction,Ministry of Construction,Kayin State - 100.00%,,2013-03-22,2015-08-31,2013-03-22,,Econmic & ODA Section,01-549644~8,eco@yn.mofa.go.jp,,False,
MM-FERD-ID6856,"""Food Assistance in Burma -  World Food Programme  2010-2011 ""","""Burma is a food-surplus country with significant agricultural potential. However, unfavourable economic policies, extreme weather and ongoing conflict have resulted in inadequate access to food and persistent 
hunger in the country. Nationally, 32 percent of children who are under 5 years of age are  stunted and underweight. Food insecurity is particularly pronounced in border areas, home to the majority of the country's 
minorities, who face a variety of restrictions including impediments to trade and movement. Canada's support to this World Food Programme (WFP) operation, which is  taking place between January 2010 and 
December 2012, is helping to meet the food needs of two million beneficiaries in Burma. The work carried out by WFP targets the most 
vulnerable and food-insecure populations in the country. Activities include food distribution with a focus on mother-and-child health, nutrition activities, and the provision of school meals.""
","Canada's support to this World Food Programme (WFP) operation, which is  taking place between January 2010 and December 2012, is helping to meet the food needs of two million beneficiaries in Burma.",Emergency food aid,None,Post-completion,,Core contributions and pooled programmes and funds,Grant,2002002,2002002,2002002,2002002,4,2002002,2002002,2,Global Affairs Canada,Global Affairs Canada,,World Food Programme,,,,2010-12-09,2012-12-31,2010-12-09,2012-12-31,Aye Myat Thanda,01-384805,ayemyat.thanda@international.gc.ca,,False,
MM-FERD-ID16002,Project on Capacity Building through IT-based Statistical Data Management in Myanmar ,Improve socio-economic statistical system by developing a statistical data accumulation and dissemination system for easy data inputs and in user friendly way and by strengthening capacity of statistical personnel at the Central Statistical Organization (CSO). ,Improve socio-economic statistical system by developing a statistical data accumulation and dissemination system for easy data inputs and in user friendly way and by strengthening capacity of statistical personnel at the Central Statistical Organization (CSO). ,Statistical capacity building,None,Implementation,Bilateral,Project-type interventions,Grant,2000000,2000000,2000000,2000000,4,2000000,2000000,2,Korea International Cooperation Agency,Korea International Cooperation Agency,,Statistics Korea,Ministry of Planning and Finance,Naypyitaw - 100.00%,,2013-06-01,2019-03-31,,,"CHO, Sung-hun (Mr.)","01-539572, 527142~4",radio6464@koica.go.kr,,False,
MM-FERD-ID4529,Stress Tolerant Rice in Vulnerable Environments,"Contribute to resiliency to drought, flooding, and cyclones by reducing rice crop losses to improve the ability of communities to recover from natural disasters.","Contribute to resiliency to drought, flooding, and cyclones by reducing rice crop losses to improve the ability of communities to recover from natural disasters.",Agriculture,Agriculture and Rural Development Sector Coordination Group,Implementation,Bilateral,Core contributions and pooled programmes and funds,Grant,2000000,2000000,2000000,2000000,4,2000000,2000000,2,U.S. Agency for International Development,U.S. Agency for International Development,,International Rice Research Institute,"Ministry of Agriculture, Livestock and Irrigation",Mandalay Region - 22.22% | Yangon Region - 22.22% | Rakhine State - 22.22% | Bago Region - 11.12% | Ayeyarwady Region - 22.22%,Mrauk-U - 11.11% | Pyapon - 11.11% | Yamethin - 11.11% | Htantabin - 11.11%,2013-09-01,2018-12-31,2013-09-01,,Saskia Funston,01-536509,FunstonSA@state.gov,,False,
41122-8925,"Capacities to develop, manage and use M&E systems for children","By 2022, the government has strengthened capacities to develop, manage and use M&E systems addressing the situation of children in Myanmar","By 2022, the government has strengthened capacities to develop, manage and use M&E systems addressing the situation of children in Myanmar",Multisector aid for basic social services,Social Protection and Disaster Management Sector Coordination Group,Implementation,Multilateral,Project-type interventions,Grant,379157.48,0,379157.48,0,49,379157.48,0,7,United Nations Children's Fund,UNICEF Core Resources| United Nations Children's Fund,United Nations Children's Fund,United Nations Children's Fund,"Ministry of Social Welfare, Relief and Resettlement| Ministry of Health and Sports| Ministry of Planning and Finance",Nation-wide - 100.00%,,2018-01-01,2022-12-31,2018-01-01,,Paul Edwards,Tel: +95 (0) 1230 5960-5969 ext 1427,pedwards@unicef.org,,False,
MM-FERD-ID4290,EMERGENCY FIELD COORDINATION,"Emergency Planning, coordination & Monitoring at Sub-national level (Field Operations).","National and local capacity in emergency preparedness and response improved to protect children and women in disaster prone areas, including ceasefire areas.",Multisector aid for basic social services,Social Protection and Disaster Management Sector Coordination Group,Implementation,Multilateral,Project-type interventions,Grant,397673.29,397673.29,397673.29,397673.29,100,397673.29,397673.29,10,United Nations Children's Fund,Embassy of Sweden / Section Office Yangon| United Nations Office of Co-ordination of Humanitarian Affairs| DFAT - Australian Aid Program| UNICEF Core Resources| Government of Denmark,United Nations Children's Fund,United Nations Children's Fund,Ministry of Planning and Finance,Nation-wide - 100.00%,,2011-01-01,2017-12-31,2011-01-01,,Paul Edwards (Mr.),Tel: +95 1 2305960-69 Ext: 1427,pedwards@unicef.org,,False,
MM-FERD-ID3081,Sports Training equipments and trainings of opening and closing ceremony for 27th SEA Games,Sports Training equipments and trainings of opening and closing ceremony for 27th SEA Games,Sports Training equipments and trainings of opening and closing ceremony for 27th SEA Games,None,Environmental Conservation Sector Coordination Group,Completion,Bilateral,Project-type interventions,Grant,7940000,0,7940000,0,1,7940000,0,1,Government of China,,,,,,,2014-09-09,2014-09-09,2014-09-09,2014-09-09,,,,,False,
MM-FERD-ID1875,"ENHANCED SECOND CHANCE, ALTERNATIVE EDUCATION",Increased number and proportion of children accessing and completing quality basic education in targeted townships.,Increased number and proportion of children accessing and completing quality basic education in targeted townships.,Basic education,Education and TVET Sector Coordination Group,Completion,Multilateral,Project-type interventions,Grant,495899.05,495899.05,495899.05,495899.05,64,495899.05,495899.05,8,United Nations Children's Fund,Government of Norway| DFAT - Australian Aid Program| UNICEF Core Resources| European Union,United Nations Children's Fund,Ministry of Education| Border Area Development Association| Myanmar Literacy and Resource Center| Thirimay Women Development Cooperative Society| Karen Baptist Convention| Karuna Myanmar Social Services,Ministry of Education,Nation-wide - 100.00%,,2011-01-01,2013-12-31,2011-01-01,2013-12-31,Shalini Bahuguna,Tel: +95 1 2305960-69 Ext: 1427,sbahuguna@unicef.org,,False,
MM-FERD-ID1916,UNDP Inle Lake,Restoring the enviroment stability of Inle Lake with the improvement of the quality of life of local communities,,None,None,Implementation,Multilateral,Project-type interventions,Grant,12000000,12000000,2004663.24,1953896.88,4,2004663.24,1953896.88,2,Government of Norway,Government of Norway,,United Nations Development Programme,,Shan State - 100.00%,Nyaungshwe - 100.00%,,,2012-01-01,2015-12-31,Harald Walter Mathisen,,,,False,
MM-FERD-ID7749,"Primary Health Care and Nutrition Services for Uprooted People in Northern Rakhine State, Myanmar","The overall objective of the programme is to improve the general health and nutrition situation of uprooted people and vulnerable communities in Maungdaw by reducing mortality and morbidity caused by communicable diseases and acute malnutrition and at the same time to encourage and support the communities in their attempts of improving general living conditions. Maungdaw Township, Northern Rakhine State, Myanmar.
","Specific Objective:
To strengthen primary health care and nutrition services, to prevent further deterioration of acute malnutrition in children < 5 years as well as to further develop and strengthen self-sufficiency skills of uprooted communities in the Northern part of Maungdaw Township",Medical services,Health Sector Coordination Group,Completion,Bilateral,Project-type interventions,Grant,1400000,1400000,2026641.65,1923586.88,4,2026641.65,1923586.88,2,European Union,European Union,European Union,Malteser International,Ministry of Health and Sports,Rakhine State - 100.00%,Maungdaw - 100.00%,2007-11-01,2011-02-01,2007-11-01,2011-11-01,Manuel de Lamo Rivera Lamo de Espinosa,+95 (0) 1 230 56 50 ,Manuel.DE-RIVERA-LAMO@eeas.europa.eu,,False,
MM-FERD-ID0516,Myanmar. GPA/MFA,"Global Partnership Agreement between the Norwegian Ministry of Foreign Affairs (MFA) and the Norwegian Refugee Council (NRC) regarding assistance to displaced people worldwide, 2016-2018.","Education, Gender equality, Human Rights/Participatory Development/ Good Governance/ Democratisation",Material relief assistance and services,None,Implementation,"Bilateral, core contributions to NGOs and other private bodies / PPPs",Core contributions and pooled programmes and funds,Grant,17000000,17000000,1979614.81,1961485.16,4,1979614.81,1961485.16,2,Government of Norway,Government of Norway,,Norwegian Refugee Council,,Nation-wide - 100.00%,,2016-01-01,2018-12-31,,,Einar Rystad,,einar.rystad@mfa.no,,False,
MM-FERD-ID8491,Emergency Response in Kachin and  Shan - Oxfam Canada 2013 ,"Despite the recent positive political developments in Burma, the humanitarian situation in many border areas of the country remains very 
difficult. Since June 2011, between 75,000-100,000  people (chiefly women and children) have been displaced due to the conflict and are living in makeshift camps in Kachin and Shan States. With CIDA support, Oxfam Canada is addressing the basic needs of conflict-affected internally displaced people living in displacement camps in Kachin and 
Northern Shan states. Project activities include: providing hygiene kits and training on hygiene practices; distributing water storage containers; 
supporting water systems during the dry season; and, providing livelihoods training and cash grants to selected displaced people to meet their basic needs, with a focus on women living in the camps. ",To address the basic needs of conflict-affected internally displaced people living in displacement camps in Kachin and Northern Shan states.,Material relief assistance and services,None,Post-completion,,Core contributions and pooled programmes and funds,Grant,983894,983894,983894,983894,16,983894,983894,4,Global Affairs Canada,Global Affairs Canada,,Oxfam,,Shan State - 50.00% | Kachin State - 50.00%,,2013-03-28,2014-03-31,2013-03-28,2014-03-31,Aye Myat Thanda,01-384805,ayemyat.thanda@international.gc.ca,,False,
MM-FERD-ID1544,DMH/HH MM/WFP/Flash Appeal 08,Bijdrage aan WFP voor humanitaire crisis Birma nav cyclone Nagris.,,Material relief assistance and services,Social Protection and Disaster Management Sector Coordination Group,Post-completion,Bilateral,Core contributions and pooled programmes and funds,Grant,5000220,0,7848259.01,0,1,7848259.01,0,1,Government of the Netherlands,Government of the Netherlands,,World Food Programme,"Ministry of Social Welfare, Relief and Resettlement",Nation-wide - 100.00%,,2008-06-09,2011-12-31,,,,,,,False,
MM-FERD-ID4648,Climate-smart Products and Services for Rural Myanmar,"Design, development and deliver of climate-smart and renewable energy technologies for rural families in Myanmar",,Solar energy,Energy and Electric Power Sector Coordination Group,Implementation,"Bilateral, core contributions to NGOs and other private bodies / PPPs",Core contributions and pooled programmes and funds,Grant,8000000,10000000,1296281.92,1318169.68,9,1296281.92,1318169.68,3,Government of Norway,Government of Norway,,Proximity Designs,,Ayeyarwady Region - 100.00%,,,,2014-01-01,2016-12-31,Harald Walter Mathisen,,,,False,
MM-FERD-ID7797,ICRC Myanmar Appeal,"Earmarked support for ICRC Emergency Appeal for Myanmar 
",,Material relief assistance and services,None,Implementation,"Bilateral, core contributions to NGOs and other private bodies / PPPs",Core contributions and pooled programmes and funds,Grant,13000000,13000000,2141731.93,1748444.75,4,2141731.93,1748444.75,2,Government of Norway,Government of Norway,,International Committee of the Red Cross,,Nation-wide - 100.00%,,,,2014-01-01,2015-12-31,Susanne Juell Gudbrandsen,,,,False,
MM-FERD-ID1063,Reconstruction and Access to Social Infrastructure and Networks,Community infrastructure in South-Eastern Myanmar is rehabilitated and/ or improved.,,Multisector aid for basic social services,Social Protection and Disaster Management Sector Coordination Group,Implementation,Bilateral,Project-type interventions,Grant,7576184,0,7692182.12,0,1,7692182.12,0,1,Swiss Agency for Development and Cooperation,Embassy of Sweden / Section Office Yangon| Swiss Agency for Development and Cooperation,,Swiss Agency for Development and Cooperation,Ministry of Education,Kayin State - 10.00% | Shan State - 65.00% | Mon State - 25.00%,Ye - 10.00% | Bilin - 5.00%,2013-09-01,2016-08-31,2013-09-01,,Mr. Bernhard Huwiler,"01-507089, 534754, 512873 Ext: 302",Bernhard .huwiler@eda.admin.ch,,False,
MM-FERD-ID9021,"""Rights and Democracy -  Institutional Support 2010-2012 ""","This project represents Canada's institutional support to Rights & Democracy. Rights & Democracy uses these funds, along with other donors' funding, to achieve its mandate.   Rights & Democracy is an independent Canadian institution created by Parliament in 1988. It has an international mandate to promote, advocate, and defend the democratic and human rights set out in the International Bill of Human Rights. In cooperation with civil society and governments in Canada and abroad, Rights & Democracy initiates and supports programmes to strengthen laws and democratic institutions, principally in developing countries.   CIDA's institutional support to Rights & Democracy allows them to focus programming on women's rights, indigenous peoples' rights, economic and social rights and democratic development. Most of Rights & Democracy's programmes include a component to build the capacity of civil society partners or state bodies through training, knowledge transfer or assistance with resources.
","CIDA's institutional support to Rights & Democracy allows to focus programming on women's rights, indigenous peoples' rights, economic and social rights and democratic development. ","Democratic participation and civil society(50.00%),Media and free flow of information(25.00%),Human rights(25.00%)",None,Post-completion,,Core contributions and pooled programmes and funds,Grant,961333,961333,961333,961333,16,961333,961333,4,Global Affairs Canada,Global Affairs Canada,,International Centre for Human Rights and Democratic Development,,,,2011-02-08,2012-03-30,2011-02-08,2012-03-30,Aye Myat Thanda,01-384805,ayemyat.thanda@international.gc.ca,,False,
MM-FERD-ID4401,Supporting Financial Access via Cooperative Upgrading and Enterprise and Farm Development in Kayin State,"The overall objective of the proposed Action is to contribute to the alleviation of poverty and the reduction of economic vulnerabilities in the conflict-affected area of Kayin State. 
The specific objective of the Action will be to capacitate the NSA partner, Community Development Association (CDA) and relevant government agencies at the local level, to deliver cooperative upgrading and farm and enterprise development technical services as a replicable social enterprise model for unlocking the economic potential of poor rural households in the conflict-affected target area in Kayin State.","The overall objective of the proposed Action is to contribute to the alleviation of poverty and the reduction of economic vulnerabilities in the conflict-affected area of Kayin State. 
The specific objective of the Action will be to capacitate the NSA partner, Community Development Association (CDA) and relevant government agencies at the local level, to deliver cooperative upgrading and farm and enterprise development technical services as a replicable social enterprise model for unlocking the economic potential of poor rural households in the conflict-affected target area in Kayin State.",Rural development,Agriculture and Rural Development Sector Coordination Group,Implementation,Bilateral,Project-type interventions,Grant,795509.31,667130.85,1093958.76,793329.94,16,1093958.76,793329.94,4,European Union,European Union,European Union,Positive Planet,"Ministry of Commerce| Ministry of Agriculture, Livestock and Irrigation",Kayin State - 100.00%,Hlaingbwe - 100.00%,2014-03-01,2017-02-28,2014-03-01,,Claudia Antonelli,+95 (0) 1 230 56 50,Claudia.ANTONELLI@eeas.europa.eu,,False,
MM-FERD-ID9011,Cofinancing of EU SMART (SMEs for environmental Accountability and Transparency) Myanmar (2013.1002.8),,,None,None,Implementation,,Project-type interventions,Grant,1428000,1428000,1886014.96,1886014.96,4,1886014.96,1886014.96,2,Government of Germany,Government of Germany,,Sequa gGmbH,,,,2013-01-01,2015-12-30,2013-01-01,2015-12-30,,,,,False,
MM-FERD-ID4331,Enhancing Health Status of Uprooted People and Host Communities in Mon State of Myanmar,The Action aims to achieve a sustainable improvement in the health of uprooted people and their host communities in four rural townships of Mon State of Myanmar through improved access to quality health care and sanitation.,"The overall objective of the proposed Action is to achieve a sustainable improvement in the health of uprooted people and their host communities in four rural townships of Mon State of Myanmar through improved access to quality health care and sanitation services.
To achieve the overall objective, six specific objectives are proposed. These are: 
1) to reduce incidence of preventable endemic communicable and infectious diseases through effective prevention interventions, 
2) to reduce mortality caused by preventable endemic communicable and infectious diseases through active case finding and improved quality diagnosis and effective care and treatment,
 3) to improve community sanitation and access to safe drinking water, 
4) to reduce maternal, fetal and infant mortalities due to unplanned pregnancy and/or unsafe delivery, 
5) to reduce the mortality of children aged under five through improving knowledge and child bearing practices among mothers and other caretakers, 
6) to build the capacity of uprooted people in self- and community-health care, as well as to enhance the capacity of health staff and local communities hosting uprooted people to better manage health programmes for uprooted people.
",Basic health care,Social Protection and Disaster Management Sector Coordination Group,Completion,Bilateral,Project-type interventions,Grant,989147.62,895971.4,1322856.76,1189594.65,9,1322856.76,1189594.65,3,European Union,European Union,European Union,International Organisation for Migration,,Mon State - 100.00%,Ye - 25.00% | Thanbyuzayat - 25.00% | Mudon - 25.00% | Bilin - 25.00%,2011-02-01,2013-05-31,2011-02-01,2013-05-31,Sivia Facchinello,+95 (0) 1 230 56 50 ,Silvia.FACCHINELLO@eeas.europa.eu,,False,
GB-1-203996-102,Social accountability by engaging civil society in public financial management and creating inclusive platforms for constructive engagement,,,Public finance management,None,Implementation,Bilateral,Project-type interventions,,4600000,0,7532117.92,0,1,7532117.92,0,1,UK - Department for International Development,UNITED KINGDOM| UK - Department for International Development,UK - Department for International Development,,,,,2013-12-01,2018-03-31,2013-12-01,,,+44 (0) 1355 84 3132,enquiry@dfid.gov.uk,,False,
GB-1-113839-142,MOU: Burma; Flash UNDP Early Recovery Ca 012,,,"Material relief assistance and services(70.00%),Relief co-ordination; protection and support services(30.00%)",None,Post-completion,Bilateral,Project-type interventions,Grant,1100000,0,2173500.68,0,4,2173500.68,0,2,UK - Department for International Development,UNITED KINGDOM| UK - Department for International Development,UK - Department for International Development,United Nations Development Programme,,Nation-wide - 100.00%,,2008-05-29,2008-11-30,2008-05-29,2008-11-30,,+44 (0) 1355 84 3132,enquiry@dfid.gov.uk,,False,
MM-FERD-ID5726,Strengthening of Resilience of Conflict Affected Communities in Karen State (2016.1816.4),2016.1816.4 - The project aims to reintegrate individuals returning to previously conflict ridden areas and strengthen the resilience of accepting communities in Karen State.,,General environmental protection,None,Implementation,,Project-type interventions,Grant,1665955,1666000,1865048.98,1865099.36,4,1865048.98,1865099.36,2,Government of Germany,Government of Germany,,Johanniter-Unfall-Hilfe,,Kayin State - 100.00%,,2016-09-01,2019-08-01,2016-09-01,,,,,,False,
MM-FERD-ID960,AICS AID 10178 - COAST Project,The project aims at improving planning and integrated management of coastal resources of Lampi Marine National Park through the capacity building of local stakeholders and the promotion of sustainable financing mechanisms and income-generating activities.,The project aims at improving planning and integrated management of coastal resources of Lampi Marine National Park through the capacity building of local stakeholders and the promotion of sustainable financing mechanisms and income-generating activities.,General environmental protection,Environmental Conservation Sector Coordination Group,Completion,Bilateral,Project-type interventions,Grant,1353300,1353300,1839160.13,1861564.93,4,1839160.13,1861564.93,2,Government of Italy,Istituto Oikos Onlus| Government of Italy,,Istituto Oikos Onlus,Ministry of Natural Resources and Environmental Conservation,Tanintharyi Region - 100.00%,Myeik - 100.00%,2013-12-01,2017-12-31,2014-05-25,,Tania Morin,01 556091,oikosmyanmar@gmail.com,,False,
GB-1-114532-105,Grant: Accessible Tuberculosis Treatment,,,Infectious disease control,None,Post-completion,Bilateral,Project-type interventions,Grant,176412,147599,291354.11,233726.81,169,291354.11,233726.81,13,UK - Department for International Development,UNITED KINGDOM| UK - Department for International Development,UK - Department for International Development,Shoklo Malaria Research Unit,,Nation-wide - 100.00%,,2009-06-02,2012-03-31,2009-06-02,2012-03-31,,+44 (0) 1355 84 3132,enquiry@dfid.gov.uk,,False,
MM-FERD-ID3474,The Voice of the Youth,"This project aims to empower Myanmar youth to develop and voice their visions of their society and engage in constructive dialogue across societal divides. By using music as a creative vehicle for youth-to-youth communication, the project will strive to strengthen social cohesion and create national awareness about the importance of the youth to     participate in democratic dialogue and national visioning. By learning skills of music,   video production and performance the participants are provided with tools to express their grievances and hopes, exploring a common ground for how they can vision the future of Myanmar.","The objective is to work on two levels by empowering local agents of change while creating national awareness through trainings on social cohesion to youths in 6 regions of Myanmar and engaging acclaimed progressive music artists in annual ""the Voice of the Youth"" music festivals and the creation of  “The Voice of the Youth” annual albums.",Democratic participation and civil society,None,Implementation,Bilateral,Project-type interventions,Grant,2928800,2928800,460189.3,457652.93,64,460189.3,457652.93,8,Government of Denmark,Government of Denmark,XX - Local NGOs and Civil Society Groups,Turning Tables,Ministry of Religious Affairs and Culture| Ministry of Transport and Communication,Nation-wide - 100.00%,,2014-11-01,2018-02-28,2014-11-01,,Martin Fernando Jakobsen,+95 (9) 73080022,mfj@turningtables.org,,False,
France-8487,"CBU 1005 (Amarapura) : Project for the improvement of the water service in the city of Mandalay, and building the capacities of the municipality staff",,"1) Improvement of the drinking water supply in a pilot zone to the south of the city, giving 2,000 households access to water;
2) Support the capacity building of the municipal water service in terms of project management and running of operations;
3) Laying the ground for a more wide-reaching project that the AFD is contemplating to finance through loans from 2016 in partnership with the ADB.",Urban development and management,None,Implementation,Bilateral,Project-type interventions,Grant,2500000,225000,3386739.98,252211.05,4,3386739.98,252211.05,2,Government of France,Agence Française de Développement,,Mandalay City Development Committee,Mandalay Regional Government,Mandalay Region - 100.00%,Amarapura - 100.00%,2015-06-17,2019-06-30,2015-02-24,,Ghislain RIEB,,riebg@afd.fr,,False,
MM-FERD-ID9265,Emergency Nutrition and Health Care-Save the Children Canada 2014,"In the state of Rakhine, over one million people - more than 140,000 of whom are living in temporary or make-shift shelters - are still suffering the consequences of inter-community violence that erupted in 2012. In addition to the on-going fear and mistrust between communities, some of the challenges facing the internally displaced people and the host communities include: lack of trained medical staff, high malnutrition rates, increased risk of water-borne diseases, and obstructed freedom of movement. Members of the Muslim community are particularly vulnerable.

With DFATD’s support, Save the Children Canada is increasing access to safe drinking water and sanitation facilities, improving maternal health, and improving the nutrition of displaced children under-five years old in Rakhine. Project activities include: (1) providing safe drinking water, sanitation facilities and hygiene kits to 10,173 conflict-affected people; (2) providing antenatal care to pregnant women, training traditional birth attendants, and clean delivery kits as well as newborn kits to mothers, benefitting 12,000 conflict-affected people; and (3) providing screening and treatment of cases of severe acute malnutrition for 19,545 conflict-affected children under-five years old in targeted areas.","With DFATD’s support, Save the Children Canada aims to increase access to safe drinking water and sanitation facilities, improving maternal health, and improving the nutrition of displaced children under-five years old in Rakhine.",Material relief assistance and services,Social Protection and Disaster Management Sector Coordination Group,Post-completion,,Project-type interventions,Grant,1807665,1807665,1807665,1807665,4,1807665,1807665,2,Global Affairs Canada,Global Affairs Canada,,Save the Children - Myanmar,Ministry of Health and Sports,Rakhine State - 100.00%,,2014-03-28,2015-03-31,2014-03-28,2015-03-31,Aye Myat Thanda,01 384805,ayemyat.thanda@international.gc.ca,,False,
